City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
48,Dossor,KZ,2021-07-22 06:43:55,47.5272,52.9811,102.07,16,4,6.89
49,Barrow,US,2021-07-22 06:43:55,71.2906,-156.7887,37.42,87,90,18.41
50,Taltal,CL,2021-07-22 06:43:56,-25.4,-70.4833,57.69,66,14,2.82
51,Bredasdorp,ZA,2021-07-22 06:43:56,-34.5322,20.0403,42.12,87,40,5.75
52,Torbay,CA,2021-07-22 06:43:57,47.6666,-52.7314,49.75,99,90,10.36
53,Atuona,PF,2021-07-22 06:43:57,-9.8,-139.0333,77.54,68,100,14.99
54,Yeppoon,AU,2021-07-22 06:43:58,-23.1333,150.7333,65.98,59,0,6.31
55,Norman Wells,CA,2021-07-22 06:43:58,65.282,-126.8329,62.64,72,75,6.91
56,Launceston,AU,2021-07-22 06:43:59,-41.45,147.1667,50.61,90,90,1.99
57,Nanortalik,GL,2021-07-22 06:43:59,60.1432,-45.2371,41.68,94,57,12.68
58,East London,ZA,2021-07-22 06:44:00,-33.0153,27.9116,50.94,50,20,28.77
59,Dhidhdhoo,MV,2021-07-22 06:44:00,6.8833,73.1,82.71,78,99,20.62
60,Dukat,RU,2021-07-22 06:44:01,62.55,155.55,54.99,92,100,5.55
61,Saint-Pierre,RE,2021-07-22 06:44:01,-21.3393,55.4781,76.68,54,0,4.61
62,Deep River,CA,2021-07-22 06:44:01,46.1001,-77.4995,53.94,79,11,4.65
63,Puerto Baquerizo Moreno,EC,2021-07-22 06:42:43,-0.9,-89.6,72.03,88,100,13.6
64,Heishan,CN,2021-07-22 06:44:02,41.6892,122.1128,88.0,56,100,9.89
65,Leh,IN,2021-07-22 06:44:03,34.1667,77.5833,65.82,38,98,6.06
66,Bethel,US,2021-07-22 06:44:03,41.3712,-73.414,67.5,85,0,7.0
67,Constitucion,CL,2021-07-22 06:44:04,-35.3333,-72.4167,52.61,86,100,1.92
68,Karimganj,IN,2021-07-22 06:44:04,24.8667,92.35,93.45,63,20,2.39
69,Khatanga,RU,2021-07-22 06:44:05,71.9667,102.5,54.43,83,95,2.37
70,Hobyo,SO,2021-07-22 06:44:06,5.3505,48.5268,84.18,60,59,23.6
71,Yacopi,CO,2021-07-22 06:44:06,5.4595,-74.3382,60.13,78,30,3.71
72,Arraial Do Cabo,BR,2021-07-22 06:44:07,-22.9661,-42.0278,65.59,77,1,3.85
73,Oistins,BB,2021-07-22 06:44:03,13.0667,-59.5333,80.69,83,40,18.41
74,Manica,FR,2021-07-22 06:44:08,49.0,-1.1667,65.61,71,99,4.81
75,Paka,MY,2021-07-22 06:44:08,4.6374,103.4368,87.73,79,20,8.05
76,Hargeysa,SO,2021-07-22 06:42:14,9.56,44.065,75.99,47,57,34.63
77,Saldanha,ZA,2021-07-22 06:44:09,-33.0117,17.9442,41.05,70,100,5.44
78,Grindavik,IS,2021-07-22 06:44:10,63.8424,-22.4338,55.56,100,90,12.66
79,Leeton,AU,2021-07-22 06:44:10,-34.5667,146.4,53.51,62,100,10.36
80,Gornopravdinsk,RU,2021-07-22 06:44:11,60.05,69.9,77.07,39,100,3.2
81,Oksfjord,NO,2021-07-22 06:44:11,70.2396,22.3479,48.27,97,100,12.59
82,Dikson,RU,2021-07-22 06:44:12,73.5069,80.5464,50.7,78,100,18.95
83,Marzuq,YE,2021-07-22 06:44:12,14.4,46.4667,81.84,53,9,7.7
84,Mapiri,BO,2021-07-22 06:44:13,-15.25,-68.1667,61.34,88,19,0.98
85,Staryy Nadym,RU,2021-07-22 06:44:13,65.6118,72.6842,69.4,47,31,15.48
86,Belaya Gora,RU,2021-07-22 06:44:14,68.5333,146.4167,66.43,41,8,7.43
87,Kapaa,US,2021-07-22 06:40:20,22.0752,-159.319,79.12,80,90,3.0
88,Springfield,US,2021-07-22 06:44:15,37.2153,-93.2982,71.87,92,1,1.99
89,Saint George,US,2021-07-22 06:44:15,37.1041,-113.5841,85.62,47,1,1.99
90,Port Elizabeth,ZA,2021-07-22 06:44:16,-33.918,25.5701,45.1,93,75,18.41
