City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
310,Porangatu,BR,67.75,-13.4408,-49.1486,Wembley Park Hotel
311,Olinda,BR,71.33,-8.0089,-34.8553,Hotel Albergue de Olinda
312,Sungaipenuh,ID,81.68,-2.0833,101.3833,Hotel Jaya Wisata 2
314,Gwadar,PK,82.99,25.1216,62.3254,Sadaf Resort
315,Las Cruces,US,80.71,32.3123,-106.7783,Days End Lodge
316,Taoudenni,ML,94.37,22.6783,-3.9836,
317,Nagato,JP,85.95,34.3833,131.2,いそう庵
319,Geraldton,AU,66.61,-28.7667,114.6,Broadwater Mariner Resort
320,Havelock,US,78.93,34.8791,-76.9013,Sherwood Motel
321,Ijuin,JP,84.31,31.6167,130.4,Hotel AZ Kagoshima Ijūin
325,Jega,NG,76.3,12.2175,4.3792,ALH. Nasiru Ibrahim
327,Kipini,KE,77.29,-2.5257,40.5262,Delta Sea Mall
328,Bam,IR,93.65,29.106,58.357,Bam Tourist Hotel
329,Marawi,PH,84.96,7.9986,124.2928,Derogongan Residence
330,San Patricio,US,84.06,28.017,-97.5169,"Motel 6 Sinton, TX"
332,Luis Correia,BR,74.95,-2.8792,-41.6669,Hotel Amarração
334,Guerrero Negro,MX,68.76,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
335,Hobyo,SO,77.49,5.3505,48.5268,Halane Hotel and Restaurent
338,Bara,NG,70.11,10.3744,10.7288,
340,Pangoa,PE,67.59,-12.1167,-73.0,
341,Ariquemes,BR,79.02,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
342,San Quintin,MX,68.2,30.4833,-115.95,Don Eddie's Sport Fishing Center
343,Kindu,CD,74.35,-2.95,25.95,Résidence Okanda
344,Cairns,AU,85.95,-16.9167,145.7667,Mantra Trilogy Cairns
345,Banjar,ID,82.26,-8.19,114.9675,The Hamsa Resort
346,Oriximina,BR,79.2,-1.7656,-55.8661,Pousada Tia Amélia
347,Laguna,US,91.24,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
351,Aripuana,BR,74.34,-9.1667,-60.6333,
353,Luganville,VU,81.3,-15.5333,167.1667,The Espiritu Hotel
354,Faanui,PF,78.8,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
355,Jabinyanah,TN,76.8,35.035,10.9081,maison belmabrouk
356,Sibay,RU,68.76,52.7181,58.6658,Hotel Tatiana
357,Natal,BR,73.62,-5.795,-35.2094,Villa Park Hotel | Natal
358,Hayden,US,84.09,47.766,-116.7866,Triple Play Resort Hotel & Suites
359,Axim,GH,74.16,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
362,Bulgan,MN,67.48,48.8125,103.5347,Unitel Булган салбар
363,Grand-Santi,GF,72.64,4.25,-54.3833,Hotel La Villa Couacou
364,Uruzgan,AF,87.12,32.8333,66.0,
365,Garowe,SO,74.37,8.4054,48.4845,Curubo Hotel
366,Nador,MA,80.85,35.174,-2.9287,Hôtel La Giralda
368,Kalmunai,LK,85.68,7.4167,81.8167,VS Villa
369,Meulaboh,ID,85.01,4.1363,96.1285,Kost Pria
371,Vilanova Del Cami,ES,74.59,41.5717,1.6375,Hotel América
