City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
24,Saint George,US,37.1041,-113.5841,97.39,24,1,4.0,clear sky
25,Bengkulu,ID,-3.8004,102.2655,77.07,70,42,4.16,scattered clouds
26,Lyubinskiy,RU,55.1542,72.6925,55.08,62,95,7.43,overcast clouds
27,Muros,ES,42.7762,-9.0603,64.99,84,17,8.7,few clouds
28,Emerald,AU,-23.5333,148.1667,73.54,49,0,11.5,clear sky
29,Longyearbyen,SJ,78.2186,15.6401,42.64,93,75,9.22,light rain
30,Musoma,TZ,-1.5,33.8,68.97,65,100,3.15,overcast clouds
31,Aswan,EG,24.0934,32.907,88.9,23,0,11.5,clear sky
32,Half Moon Bay,US,37.4636,-122.4286,94.39,69,20,12.66,few clouds
33,Nikolskoye,RU,59.7035,30.7861,64.02,67,100,4.65,overcast clouds
34,Dikson,RU,73.5069,80.5464,37.74,99,100,12.64,overcast clouds
35,Jieshi,CN,22.8134,115.8257,89.94,75,39,10.22,scattered clouds
36,Turukhansk,RU,65.8167,87.9833,52.61,93,100,6.06,light rain
37,East London,ZA,-33.0153,27.9116,68.79,47,1,13.6,clear sky
38,Paamiut,GL,61.994,-49.6678,44.49,80,25,10.16,scattered clouds
39,Tuatapere,NZ,-46.1333,167.6833,52.83,66,13,1.72,few clouds
40,Urgut,UZ,39.4022,67.2431,71.22,29,0,3.8,clear sky
41,Wembley,AU,-31.9333,115.8,55.6,96,75,12.66,light intensity shower rain
42,Kapaa,US,22.0752,-159.319,84.18,75,90,3.0,light rain
43,Redcar,GB,54.6166,-1.06,61.36,76,94,9.01,overcast clouds
44,Krasnyy Yar,RU,46.5331,48.3456,67.96,47,100,7.63,overcast clouds
45,Punta Arenas,CL,-53.15,-70.9167,44.71,81,75,23.02,broken clouds
46,Eureka,US,40.8021,-124.1637,59.58,87,100,1.01,overcast clouds
47,Chumikan,RU,54.7183,135.315,75.25,55,100,2.8,overcast clouds
48,Avera,US,33.194,-82.5271,85.51,64,66,2.21,broken clouds
49,Busselton,AU,-33.65,115.3333,55.04,75,58,16.49,broken clouds
50,Haines Junction,CA,60.7522,-137.5108,64.35,55,43,8.05,scattered clouds
51,Houma,US,29.5958,-90.7195,88.99,77,9,6.85,clear sky
52,Kaitangata,NZ,-46.2817,169.8464,53.92,51,100,2.37,overcast clouds
53,Erenhot,CN,43.6475,111.9767,73.78,47,100,13.02,overcast clouds
54,Belyy Yar,RU,53.6039,91.3903,58.89,88,75,6.71,light intensity shower rain
55,New Norfolk,AU,-42.7826,147.0587,56.91,68,94,3.0,overcast clouds
56,Hilo,US,19.7297,-155.09,80.33,83,90,8.05,moderate rain
57,Lebu,CL,-37.6167,-73.65,46.56,80,0,22.1,clear sky
58,Port Alfred,ZA,-33.5906,26.891,61.54,86,24,14.5,few clouds
59,Jamestown,US,42.097,-79.2353,72.72,78,1,6.49,clear sky
60,Saskylakh,RU,71.9167,114.0833,62.98,47,26,19.98,scattered clouds
61,Bambous Virieux,MU,-20.3428,57.7575,67.21,94,75,17.27,moderate rain
62,Airai,TL,-8.9266,125.4092,71.62,37,91,4.76,overcast clouds
63,Sargodha,PK,32.0836,72.6711,89.55,59,78,8.72,broken clouds
64,Lata,PT,40.1629,-8.3327,61.92,98,21,1.5,few clouds
65,Husavik,IS,66.0449,-17.3389,49.91,99,100,9.28,overcast clouds
66,Barrow,US,71.2906,-156.7887,42.82,84,90,18.41,mist
67,Whitefish,US,48.4111,-114.3376,87.55,18,20,6.91,few clouds
68,Yucca Valley,US,34.1142,-116.4322,95.23,32,81,8.01,broken clouds
69,San Cristobal,VE,7.7669,-72.225,73.58,95,25,1.5,scattered clouds
70,Pemangkat,ID,1.1667,108.9667,81.59,81,99,8.75,overcast clouds
71,Atar,MR,20.5169,-13.0499,89.83,23,8,5.06,clear sky
72,Gravdal,NO,68.1214,13.5031,56.98,81,0,8.34,clear sky
73,Albany,US,42.6001,-73.9662,68.14,92,100,1.52,overcast clouds
74,Puerto Ayora,EC,-0.7393,-90.3518,71.69,82,23,9.26,few clouds
75,Cape Town,ZA,-33.9258,18.4232,53.11,91,20,5.75,few clouds
76,Carnarvon,AU,-24.8667,113.6333,66.27,55,100,8.05,overcast clouds
77,Portland,US,45.5234,-122.6762,89.64,42,20,1.01,few clouds
78,Itapirapua,BR,-15.8233,-50.6133,73.17,36,5,1.43,clear sky
